ts,currency,volatility
1785412800000,ETH,42.389731783588864
1785416400000,ETH,42.37442193575376
1785420000000,ETH,40.91515361691287
1785423600000,ETH,40.932105907195265
1785427200000,ETH,41.0053759354225
1785430800000,ETH,41.00474411991763
1785434400000,ETH,40.8849941573463
1785438000000,ETH,40.826424806208905
1785441600000,ETH,40.83305307232219
1785445200000,ETH,40.87999330982335
1785448800000,ETH,40.883499190236684
1785452400000,ETH,40.888025745168456
1785456000000,ETH,40.92772892319184
1785459600000,ETH,40.94509510342875
1785463200000,ETH,40.9395384725851
1785466800000,ETH,40.92911670370539
1785470400000,ETH,40.955168997704796
1785474000000,ETH,40.93877842762785
1785477600000,ETH,40.94579480329481
1785481200000,ETH,40.89985024518299
1785484800000,ETH,40.903915957619596
1785488400000,ETH,40.91351742590738
1785492000000,ETH,40.4140457443549
1785495600000,ETH,40.44985079539537
1785499200000,ETH,40.445580166106424
1785502800000,ETH,40.4428928159076
1785506400000,ETH,40.31037227312235
1785510000000,ETH,40.446315243714835
1785513600000,ETH,40.49072911197881
1785517200000,ETH,40.49623624121324
1785520800000,ETH,40.494058833371646
1785524400000,ETH,40.49986586807113
1785528000000,ETH,40.464795332197426
1785531600000,ETH,40.47736963430699
1785535200000,ETH,40.49126878769114
1785538800000,ETH,40.45144447336419
1785542400000,ETH,40.37060811846548
1785546000000,ETH,40.35443221668048
1785549600000,ETH,40.35815413331119
1785553200000,ETH,40.17603759446647
1785556800000,ETH,40.16932036946944
1785560400000,ETH,40.15495255323127
1785564000000,ETH,40.1503648101294
1785567600000,ETH,39.52388554154772
1785571200000,ETH,39.470607440618686
1785574800000,ETH,39.45791705538096
1785578400000,ETH,39.45545297847464
1785582000000,ETH,39.434630454332854
1785585600000,ETH,39.431197773410275
1785589200000,ETH,39.42693591813778
1785592800000,ETH,39.32430644121421
1785596400000,ETH,39.31388411410349
1785600000000,ETH,39.337739246558804
1785603600000,ETH,39.2870276997215
1785607200000,ETH,39.26254375238435
1785610800000,ETH,39.24845269422015
1785614400000,ETH,39.80812154531804
1785618000000,ETH,39.797223938504395
1785621600000,ETH,39.797981938973706
1785625200000,ETH,39.843969712610104
1785628800000,ETH,39.84411040962052
1785632400000,ETH,39.84577818252353
1785636000000,ETH,39.84695493344484
1785639600000,ETH,39.94150041630992
1785643200000,ETH,40.28756680538424
1785646800000,ETH,40.27464311998113
1785650400000,ETH,40.28324132940358
1785654000000,ETH,40.30018693816431
1785657600000,ETH,40.300587858771316
1785661200000,ETH,40.30221825392945
1785664800000,ETH,40.3477794885117
1785668400000,ETH,40.34973120763156
1785672000000,ETH,40.35402739490092
1785675600000,ETH,40.57809500530766
1785679200000,ETH,40.59418522019507
1785682800000,ETH,40.58874270197687
1785686400000,ETH,40.572965862897604
1785690000000,ETH,40.58274886917674
1785693600000,ETH,40.59590040195979
1785697200000,ETH,40.58435770545467
1785700800000,ETH,40.60461196606394
1785704400000,ETH,40.63887176371405
1785708000000,ETH,40.639636214242394
1785711600000,ETH,40.66628330097069
1785715200000,ETH,40.72159586531237
1785718800000,ETH,40.729696066115196
1785722400000,ETH,40.83585060325711
1785726000000,ETH,40.8744927007757
1785729600000,ETH,40.751335542149334
1785733200000,ETH,40.77943465357986
1785736800000,ETH,40.78341777223456
1785740400000,ETH,40.80280953420465
1785744000000,ETH,40.90499397369643
1785747600000,ETH,40.92716023011372
1785751200000,ETH,40.92562201934207
1785754800000,ETH,41.01295157606224
1785758400000,ETH,41.020597891921845
1785762000000,ETH,41.05525829188052
1785765600000,ETH,41.068283503477275
1785769200000,ETH,41.275661987883645
1785772800000,ETH,41.44934515595705
1785776400000,ETH,41.5259763612299
1785780000000,ETH,41.51841910978031
1785783600000,ETH,41.523956666056264
1785787200000,ETH,41.48913901132714
1785790800000,ETH,41.48877574652642
1785794400000,ETH,41.46997510713078
1785798000000,ETH,41.47063400873613
1785801600000,ETH,41.41850397082755
1785805200000,ETH,41.41606342228002
1785808800000,ETH,41.49819587739307
1785812400000,ETH,41.732697517455804
1785816000000,ETH,41.65787997713177
1785819600000,ETH,41.66046650560369
1785823200000,ETH,41.57734523297221
1785826800000,ETH,41.43178832725288
1785830400000,ETH,41.44923835121115
1785834000000,ETH,41.31017813955246
1785837600000,ETH,41.33290954102663
1785841200000,ETH,41.32412756663313
1785844800000,ETH,41.36058659719922
1785848400000,ETH,40.90026320306913
1785852000000,ETH,40.573368900538945
1785855600000,ETH,40.6365642638314
1785859200000,ETH,40.72714592417403
1785862800000,ETH,39.69869846965222
1785866400000,ETH,39.699429136557995
1785870000000,ETH,39.638151033794074
1785873600000,ETH,39.610273323611445
1785877200000,ETH,39.60909256731228
1785880800000,ETH,39.574098329528496
1785884400000,ETH,39.58594153025558
1785888000000,ETH,39.558981463818505
1785891600000,ETH,39.52047541838263
1785895200000,ETH,39.46043627133859
1785898800000,ETH,39.488689896906244
1785902400000,ETH,39.40653667310811
1785906000000,ETH,39.37189521091241
1785909600000,ETH,39.36769089702458
1785913200000,ETH,39.36974243365548
1785916800000,ETH,39.36499421816044
1785920400000,ETH,39.370347779778655
1785924000000,ETH,39.34842270791303
1785927600000,ETH,39.34817563990303
1785931200000,ETH,39.30611667312664
1785934800000,ETH,39.303591933735234
1785938400000,ETH,39.31227292280546
1785942000000,ETH,39.31169858867985
1785945600000,ETH,39.25610857081231
1785949200000,ETH,39.26051431775332
1785952800000,ETH,39.64290833135314
1785956400000,ETH,39.95218133132515
1785960000000,ETH,39.9536884555095
1785963600000,ETH,39.94431008212598
1785967200000,ETH,39.94422516390245
1785970800000,ETH,40.00475165469888
1785974400000,ETH,39.99713235065759
1785978000000,ETH,39.93175262210988
1785981600000,ETH,39.86131971629924
1785985200000,ETH,39.84425052459954
1785988800000,ETH,39.884348665501015
1785992400000,ETH,39.88226297687235
1785996000000,ETH,39.89429510308943
1785999600000,ETH,39.681475932933
1786003200000,ETH,39.67913169602413
1786006800000,ETH,39.68620065314611
1786010400000,ETH,39.68716944262588
1786014000000,ETH,39.738177954643284
1786017600000,ETH,39.729673042195145
1786021200000,ETH,39.74474816569499
1786024800000,ETH,39.72364771796011
1786028400000,ETH,39.35840342997075
1786032000000,ETH,39.36850108409065
1786035600000,ETH,39.300268427342964
1786039200000,ETH,39.27672339736943
1786042800000,ETH,39.17185455683959
1786046400000,ETH,39.17396341338494
1786050000000,ETH,39.15905451289227
1786053600000,ETH,39.162481325362165
1786057200000,ETH,39.04467668247538
1786060800000,ETH,39.045574196614616
1786064400000,ETH,39.032893966585476
1786068000000,ETH,39.030143204186984
1786071600000,ETH,39.0165854633503
1786075200000,ETH,39.01644755572228
1786078800000,ETH,38.99772588535052
1786082400000,ETH,38.996859446689704
1786086000000,ETH,39.00254713953195
1786089600000,ETH,39.005959926970306
1786093200000,ETH,38.927068918673456
1786096800000,ETH,38.8795712556098
1786100400000,ETH,38.87946348552012
1786104000000,ETH,38.86522961972711
1786107600000,ETH,38.871149712551286
1786111200000,ETH,38.68670963093056
1786114800000,ETH,38.728109231851434
1786118400000,ETH,38.80240118088046
1786122000000,ETH,38.81469487387142
1786125600000,ETH,38.821126126498996
1786129200000,ETH,38.746182326969155
1786132800000,ETH,38.745294437347724
1786136400000,ETH,38.794636907815466
1786140000000,ETH,38.713304705283
1786143600000,ETH,38.706316914705894
1786147200000,ETH,38.70805497732097
1786150800000,ETH,38.686248962128616
1786154400000,ETH,38.640897169976974
1786158000000,ETH,38.63920425133242
1786161600000,ETH,38.630645923833406
1786165200000,ETH,38.536201812695346
1786168800000,ETH,38.51604148055154
1786172400000,ETH,38.49351650549002
1786176000000,ETH,38.44790791229595
1786179600000,ETH,38.39393919818651
1786183200000,ETH,38.34402857721793
1786186800000,ETH,38.34715244176558
1786190400000,ETH,38.33471035503644
1786194000000,ETH,38.33474136764395
1786197600000,ETH,38.21612193926883
1786201200000,ETH,37.98413712921254
1786204800000,ETH,37.96485957637564
1786208400000,ETH,37.965452863137834
1786212000000,ETH,37.94763405409468
1786215600000,ETH,37.87197999292916
1786219200000,ETH,37.86340479386869
1786222800000,ETH,37.86313652077881
1786226400000,ETH,37.856388061761805
1786230000000,ETH,37.84514084681577
1786233600000,ETH,37.85502424980105
1786237200000,ETH,37.8508261490954
1786240800000,ETH,37.850728375972515
1786244400000,ETH,37.85366647517985
1786248000000,ETH,37.85504171217171
1786251600000,ETH,37.85516153419172
1786255200000,ETH,37.849883919572406
1786258800000,ETH,37.844881965986126
1786262400000,ETH,37.86418451613389
1786266000000,ETH,37.857977167877046
1786269600000,ETH,37.86109344341351
1786273200000,ETH,37.87039272031738
1786276800000,ETH,37.87143572307111
1786280400000,ETH,37.87181860595258
1786284000000,ETH,37.8688426349101
1786287600000,ETH,37.85170139418601
1786291200000,ETH,37.85190485165661
1786294800000,ETH,37.852534166980725
1786298400000,ETH,37.85727418982172
1786302000000,ETH,37.834816161265884
1786305600000,ETH,37.83188593752772
1786309200000,ETH,37.83178932992524
1786312800000,ETH,37.825949364752155
1786316400000,ETH,37.83796237829514
1786320000000,ETH,37.85174234871746
1786323600000,ETH,37.92396106317679
1786327200000,ETH,37.892886044528424
1786330800000,ETH,38.02379734813364
1786334400000,ETH,38.02197818710956
1786338000000,ETH,38.05250080508207
1786341600000,ETH,38.040333721748034
1786345200000,ETH,38.08176598441113
1786348800000,ETH,38.09910140369211
1786352400000,ETH,38.09314367082122
1786356000000,ETH,38.094692613269466
1786359600000,ETH,38.1822542700517
1786363200000,ETH,38.17867935827379
1786366800000,ETH,38.185241060126216
1786370400000,ETH,38.364869595779446
1786374000000,ETH,38.42838331610861
1786377600000,ETH,38.3168751278634
1786381200000,ETH,38.329469702565184
1786384800000,ETH,38.35020320410278
1786388400000,ETH,38.33016114179675
1786392000000,ETH,38.32141040419735
1786395600000,ETH,38.351332750431155
1786399200000,ETH,38.353068737127586
1786402800000,ETH,38.24668332648853
1786406400000,ETH,37.769653955789465
1786410000000,ETH,37.756749005154454
1786413600000,ETH,37.628568994450504
1786417200000,ETH,37.608287352162016
1786420800000,ETH,37.587984755206186
1786424400000,ETH,37.55628548046943
1786428000000,ETH,37.56490775190397
1786431600000,ETH,37.44341395461371
1786435200000,ETH,37.43666538541666
1786438800000,ETH,37.4345410786017
1786442400000,ETH,37.43641791444905
1786446000000,ETH,37.46931965401604
1786449600000,ETH,37.46647683965621
1786453200000,ETH,37.45865661910349
1786456800000,ETH,37.47799066095758
1786460400000,ETH,37.47177823522266
1786464000000,ETH,37.005492358315664
1786467600000,ETH,37.09048997643028
1786471200000,ETH,36.942968481496024
1786474800000,ETH,36.934699968601635
1786478400000,ETH,36.91810704089419
1786482000000,ETH,37.08366483518635
1786485600000,ETH,37.081395021628964
1786489200000,ETH,37.066956110177884
1786492800000,ETH,37.05191648170662
1786496400000,ETH,34.97206661724272
1786500000000,ETH,34.968815337855574
1786503600000,ETH,34.79523697141157
1786507200000,ETH,34.78516255277591
1786510800000,ETH,34.790093664747126
1786514400000,ETH,34.76977133980732
1786518000000,ETH,34.77072384786312
1786521600000,ETH,34.77168366216579
1786525200000,ETH,34.759558979234676
1786528800000,ETH,34.73890632063659
1786532400000,ETH,34.958140082236525
1786536000000,ETH,34.902456089483955
1786539600000,ETH,34.93574179770024
1786543200000,ETH,34.94864446647831
1786546800000,ETH,34.8052564975379
1786550400000,ETH,34.65633750236025
1786554000000,ETH,34.46506597108716
1786557600000,ETH,33.496636167386974
1786561200000,ETH,33.47104888347407
1786564800000,ETH,32.88682450574306
